Nombre                     ,Fecha      ,Nacimiento ,Edad ,Ocupación                       ,Lugar de Nacimiento         ,Pais      ,Hincha de
Coscu                      ,3/4/2022   ,8/3/1991   ,33   ,Streamer                        ,La Plata                    ,Argentina,Racing
Luis Ventura               ,3/11/2022  ,1/14/1956  ,68   ,Periodista / Director Técnico   ,São Paulo                   ,Brasil    ,Lanús
Gordo Ventilador           ,3/14/2022  ,?          ,?    ,Animador / Influencer           ,?                           ,Argentina,San Lorenzo
Lucas Pratto               ,3/16/2022  ,6/4/1989   ,35   ,Futbolista                      ,La Plata                    ,Argentina,Boca Juniors / Vélez
Nazareno Casero            ,3/18/2022  ,6/19/1986  ,38   ,Actor                           ,Luis Piedrabuena            ,Argentina,Comunicaciones
Ariel Mantelman            ,3/21/2022  ,4/19/1990  ,34   ,Twitter                        ,?                           ,Argentina,River Plate
Fernanda Metilli           ,3/22/2022  ,6/13/1984  ,40   ,Comediante / Actriz             ,Tandil                      ,Argentina,Boca Juniors
FMK                        ,3/25/2022  ,1/27/1999  ,25   ,Cantante                        ,Necochea                    ,Argentina,River Plate
El Demente                 ,3/25/2022  ,12/19/1994 ,29   ,Streamer / Influencer           ,Loma Hermosa                ,Argentina,Boca Juniors           
Ariel Senosiain            ,4/1/2022   ,7/3/1979   ,45   ,Periodista Deportivo            ,?                           ,Argentina,Newell's Old Boys      
Diego Peretti              ,4/4/2022   ,2/10/1962  ,62   ,Actor / Psiquiatra              ,Balvanera                   ,Argentina,River Plate            
Juan Pablo Varsky          ,4/5/2022   ,10/27/1970 ,54   ,Periodista Deportivo            ,?                           ,Argentina,Boca Juniors           
Lit Killah                 ,4/16/2022  ,10/4/1999  ,25   ,Músico                          ,Gonzalez Catán              ,Argentina,Boca Juniors           
Fran Gómez                 ,4/18/2022  ,11/2/1993  ,31   ,Comediante / Influencer         ,La Plata                    ,Argentina,Estudiantes            
Alexandra Kohan            ,4/19/2022  ,1/29/1971  ,53   ,Psicoanalista / Docente         ,Mar del Plata               ,Argentina,Boca Juniors           
Dillom                     ,4/25/2022  ,12/5/2000  ,23   ,Músico                          ,Once                        ,Argentina,Boca Juniors           
Agustín Muzzu              ,4/26/2022  ,?          ,?    ,Periodista / Abogado            ,?                           ,Argentina,San Lorenzo            
Duki                       ,4/28/2022  ,6/24/1996  ,28   ,Músico                          ,Almagro                     ,Argentina,Independiente          
Federico D'elia            ,5/2/2022   ,10/4/1966  ,58   ,Actor                           ,La Plata                    ,Argentina,Estudiantes            
Manuel Olivari             ,5/3/2022   ,4/1/1985   ,39   ,Periodista Deportivo            ,Palermo                     ,Argentina,Boca Juniors           
Danny Ocean                ,5/4/2022   ,5/5/1992   ,32   ,Músico                          ,Caracas                     ,Venezuela,?                      
Palito                     ,5/5/2022   ,14/9/????  ,?    ,Twitter                        ,?                           ,Argentina,Boca Juniors           
Juan Marconi               ,5/6/2022   ,10/17/1987 ,37   ,Periodista / Conductor          ,?                           ,Argentina,Independiente          
Matias Martin              ,5/11/2022  ,10/27/1970 ,54   ,Periodista Deportivo            ,?                           ,Argentina,River Plate            
José Montesano             ,5/13/2022  ,1/23/1971  ,53   ,Relator                         ,Olavarría                   ,Argentina,Boca Juniors           
Saramalacara               ,5/16/2022  ,11/8/2000  ,24   ,Músico                          ,CABA                        ,Argentina,San Lorenzo            
Grego Rosselló             ,5/20/2022  ,8/13/1991  ,33   ,Actor / Conductor               ,Palermo                     ,Argentina,River Plate            
Unicornio                  ,5/24/2022  ,6/7/1999   ,25   ,Streamer                        ,Villa Crespo                ,Argentina,Boca Juniors           
Topa                       ,5/26/2022  ,10/11/1975 ,49   ,Actor / Animador                ,Caseros                     ,Argentina,Chicago / Boca Juniors        
BB Asul                    ,5/27/2022  ,6/26/1997  ,27   ,Músico                          ,?                           ,Argentina,Boca Juniors           
Migue Granados             ,5/30/2022  ,9/2/1986   ,38   ,Comediante / Productor          ,Rosario                     ,Argentina,Newell's Old Boys      
Mono de Kapanga            ,6/2/2022   ,4/12/1969  ,55   ,Músico                          ,Lomas de Zamora             ,Argentina,Quilmes                
Agustín Bernasconi (MYA)   ,6/6/2022   ,10/15/1996 ,28   ,Actor / Músico                  ,Rio Tercero                 ,Argentina,River Plate            
Máximo Espíndola (MYA)     ,6/6/2022   ,12/3/1994  ,30   ,Actor / Músico                  ,San Miguel de Tucumán       ,Argentina,Atlético Tucumán       
Nicolás Villalba           ,6/7/2022   ,10/23/1999 ,25   ,Esports                         ,Flores                      ,Argentina,Banfield               
Facundo Campazzo           ,6/14/2022  ,3/23/1991  ,33   ,Basquetbolista                  ,Córdoba                     ,Argentina,Chacarita              
