,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Big Ari,3/2/2023,5/4/1977,47,Ex Participante GH,Berazategui,River Plate,,,,,,,,,,,,,,,,,,,,,
,Gastón Pauls,3/3/2023,1/17/1972,52,Actor,Almagro,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Daniel Hendler,3/6/2023,1/3/1976,48,Actor / Director de Cine,"Montevideo, Uruguay",Nacional,,,,,,,,,,,,,,,,,,,,,
,Chapu Nocioni,3/7/2023,11/30/1979,45,Exbasquetbolista,Santa Fé,Colón,,,,,,,,,,,,,,,,,,,,,
,Franco Pisso,3/14/2023,2/13/1994,30,Youtuber,Santa Fé,Newell's Old Boys,,,,,,,,,,,,,,,,,,,,,
,Juanita Groisman,3/16/2023,8/6/1996,28,Twittera,CABA,River Plate,,,,,,,,,,,,,,,,,,,,,
,La Cobra *,3/17/2023,9/8/1998,26,Streamer,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Mariano Martinez,3/20/2023,12/5/1978,46,Actor,La Boca,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Nachoide,3/28/2023,5/24/2000,24,Twittero,Santa Fé,Colón,,,,,,,,,,,,,,,,,,,,,
,Sofia Martínez,3/30/2023,5/7/1993,31,Periodista Deportiva,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Caballeros de la Quema,3/31/2023,1989,35,Grupo Musical,Morón,Morón / Boca,,,,,,,,,,,,,,,,,,,,,
,Nati Jota,4/3/2023,5/26/1994,30,Influencer / Periodista,?,River Plate,,,,,,,,,,,,,,,,,,,,,
,A$epto,4/5/2023,?,33,Músico,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Turco García *,4/17/2023,8/24/1963,61,Exfutbolista,Lanús,Huracán,,,,,,,,,,,,,,,,,,,,,
,Carolo Vázquez,4/18/2023,4/29/1993,31,Jugadora Esports (FIFA),CABA,Independiente / River,,,,,,,,,,,,,,,,,,,,,
,Santi Korovsky,4/25/2023,2/26/1985,39,Actor,?,San Lorenzo,,,,,,,,,,,,,,,,,,,,,
,Augusto Batalla,4/27/2023,4/30/1996,28,Futbolista,Hurlingam,River Plate,,,,,,,,,,,,,,,,,,,,,
,Juanse,5/4/2023,6/3/1962,62,Músico,Villa Devoto,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Santi Motorizado *,5/8/2023,5/19/1980,44,Músico,La Plata,Gimnasia de la Plata,,,,,,,,,,,,,,,,,,,,,
,Trinche *,5/9/2023,12/24/1997,27,Comediante,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Fernando Signorini,5/11/2023,12/7/1950,74,Preparador Físico,Lincoln,Ninguno,,,,,,,,,,,,,,,,,,,,,
,BM,5/12/2023,8/27/1999,25,Músico,Chivilcoy,River Plate,,,,,,,,,,,,,,,,,,,,,
,Laureano Staropoli *,5/16/2023,2/27/1993,31,Luchador MMA,La Plata,Estudiantes,,,,,,,,,,,,,,,,,,,,,
,Mariano Peluffo,5/19/2023,4/1/1971,53,Conductor,Floresta,All Boys,,,,,,,,,,,,,,,,,,,,,
,Nancy Dupláa,5/22/2023,12/3/1969,55,Actriz,Olivos,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Rodolfo De Paoli,5/23/2023,10/26/1978,46,Relator / Director Técnico,CABA,Nueva Chicago,,,,,,,,,,,,,,,,,,,,,
,Maru Botana,5/30/2023,8/17/1968,56,Cocinera,Belgrano,River Plate,,,,,,,,,,,,,,,,,,,,,
,Bizarrap *,6/2/2023,8/29/1998,26,Productor Musical,Ramos Mejía,Vélez,,,,,,,,,,,,,,,,,,,,,
,Jorge Porcel Jr. *,6/6/2023,?,51,Nepobaby,?,Racing,,,,,,,,,,,,,,,,,,,,,
,Gabriel Schultz,6/13/2023,7/21/1966,58,Periodista,La Paternal,Argentinos Juniors,,,,,,,,,,,,,,,,,,,,,
,Acru,6/15/2023,6/4/1997,27,Músico,Tucumán,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Julio Leiva,6/22/2023,4/3/1978,46,Periodista,Isidro Casanova,Independiente,,,,,,,,,,,,,,,,,,,,,
,Esteban Lamothe,6/27/2023,4/30/1977,47,Actor,Florentino Ameghino,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Juanchi Baleirón,7/12/2023,3/11/1965,59,Músico,Santa Fé,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Natalie Pérez,7/18/2023,11/4/1986,38,Actriz,Villa Urquiza,River Plate,,,,,,,,,,,,,,,,,,,,,
,Maravilla Martínez *,7/27/2023,2/21/1975,49,Ex Boxeador,Quilmes,River Plate,,,,,,,,,,,,,,,,,,,,,
,Laucha Luchetti,7/28/2023,1989,35,Cocinero,?,Independiente,,,,,,,,,,,,,,,,,,,,,
,Luis Scola,7/31/2023,4/30/1980,44,Exbasquetbolista,CABA,River Plate,,,,,,,,,,,,,,,,,,,,,
,Pimpeano,8/1/2023,2/5/1998,26,Streamer,Parque Chacabuco,Racing,,,,,,,,,,,,,,,,,,,,,
,Joaco Lopez,8/1/2023,7/23/1997,27,Streamer,Wilde,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Charo Lopez,8/4/2023,5/6/1980,44,Actriz,?,Boca Juniors,,,,,,,,,,,,,,,,,,,,,
,Momo *,8/18/2023,4/11/1989,35,Streamer,Tolosa,Platense,,,,,,,,,,,,,,,,,,,,,
,Frankkaster,8/22/2023,4/17/1997,27,Streamer,La Plata,Estudiantes,,,,,,,,,,,,,,,,,,,,,
,Esteban Edul,8/31/2023,11/10/1984,40,Periodista Deportivo,San Cristóbal,Independiente,,,,,,,,,,,,,,,,,,,,,
,Flavio Azzaro *,9/5/2023,11/12/1985,39,Periodista Deportivo / Conductor,Avellaneda,Racing,,,,,,,,,,,,,,,,,,,,,
,Andrés Ducatenzeiler *,9/5/2023,1/27/1961,63,Dirigente Deportivo,Avellaneda,Independiente,,,,,,,,,,,,,,,,,,,,,
,Radagast,9/8/2023,9/15/1983,39,Mago / Comediante,Bahía Blanca,?,,,,,,,,,,,,,,,,,,,,,
