"name"                     ,"birth_date" ,"location"              ,"country"            ,"type"    ,"genre"
Coscu                      ,"1991-08-03" ,La Plata                ,Argentina            ,invitado  ,Hombre
Luis Ventura               ,"1956-01-14" ,São Paulo               ,Brasil               ,invitado  ,Hombre
Gordo Ventilador           ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Lucas Pratto               ,"1989-06-04" ,La Plata                ,Argentina            ,invitado  ,Hombre
Nazareno Casero            ,"1986-06-19" ,Luis Piedrabuena        ,Argentina            ,invitado  ,Hombre
Ariel Mantelman            ,"1990-04-19" ,?                       ,Argentina            ,invitado  ,Hombre
Fernanda Metilli           ,"1984-06-13" ,Tandil                  ,Argentina            ,invitado  ,Mujer
FMK                        ,"1999-01-27" ,Necochea                ,Argentina            ,invitado  ,Hombre
El Demente                 ,"1994-12-19" ,Loma Hermosa            ,Argentina            ,invitado  ,Hombre
Ariel Senosiain            ,"1979-07-03" ,?                       ,Argentina            ,invitado  ,Hombre
Diego Peretti              ,"1962-02-10" ,Balvanera               ,Argentina            ,invitado  ,Hombre
Juan Pablo Varsky          ,"1970-10-27" ,?                       ,Argentina            ,invitado  ,Hombre
Lit Killah                 ,"1999-10-04" ,Gonzalez Catán          ,Argentina            ,invitado  ,Hombre
Fran Gómez                 ,"1993-11-02" ,La Plata                ,Argentina            ,invitado  ,Hombre
Alexandra Kohan            ,"1971-01-29" ,Mar del Plata           ,Argentina            ,invitado  ,Mujer
Dillom                     ,"2000-12-05" ,Once                    ,Argentina            ,invitado  ,Hombre
Agustín Muzzu              ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Duki                       ,"1996-06-24" ,Almagro                 ,Argentina            ,invitado  ,Hombre
Federico D'elia            ,"1966-10-04" ,La Plata                ,Argentina            ,invitado  ,Hombre
Manuel Olivari             ,"1985-04-01" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Danny Ocean                ,"1992-05-05" ,Caracas                 ,Venezuela            ,invitado  ,Hombre
Palito                     ,"1.0"        ,?                       ,Argentina            ,invitado  ,Hombre
Juan Marconi               ,"1987-10-17" ,?                       ,Argentina            ,invitado  ,Hombre
Matias Martin              ,"1970-10-27" ,?                       ,Argentina            ,invitado  ,Hombre
José Montesano             ,"1971-01-23" ,Olavarría               ,Argentina            ,invitado  ,Hombre
Saramalacara               ,"2000-11-08" ,CABA                    ,Argentina            ,invitado  ,Hombre
Grego Rosselló             ,"1991-08-13" ,Palermo                 ,Argentina            ,invitado  ,Hombre
Unicornio                  ,"1999-06-07" ,Villa Crespo            ,Argentina            ,invitado  ,Hombre
Topa                       ,"1975-10-11" ,Caseros                 ,Argentina            ,invitado  ,Hombre
BB Asul                    ,"1997-06-26" ,?                       ,Argentina            ,invitado  ,Hombre
Migue Granados             ,"1986-09-02" ,Rosario                 ,Argentina            ,invitado  ,Hombre
Mono de Kapanga            ,"1969-04-12" ,Lomas de Zamora         ,Argentina            ,invitado  ,Hombre
Agustín Bernasconi (MYA)   ,"1996-10-15" ,Rio Tercero             ,Argentina            ,invitado  ,Hombre
Máximo Espíndola (MYA)     ,"1994-12-03" ,San Miguel de Tucumán   ,Argentina            ,invitado  ,Hombre
Nicolás Villalba           ,"1999-10-23" ,Flores                  ,Argentina            ,invitado  ,Hombre
Facundo Campazzo           ,"1991-03-23" ,Córdoba                 ,Argentina            ,invitado  ,Hombre
Louta                      ,"1994-06-22" ,CABA                    ,Argentina            ,invitado  ,Hombre
Davo Xeneize               ,"2002-12-04" ,CABA                    ,Argentina            ,invitado  ,Hombre
